vehicleId;maxBatteryLevelKm;nbDemands
Vehicle_1;34;6
Vehicle_13;33;8
Vehicle_2;25;7
Vehicle_12;66;7
Vehicle_15;36;8
Vehicle_14;23;3
Vehicle_30;42;7
Vehicle_11;29;5
Vehicle_10;16;7
Vehicle_17;34;4
Vehicle_16;28;6
Vehicle_19;26;3
Vehicle_18;32;4
Vehicle_9;26;4
Vehicle_7;38;4
Vehicle_8;28;7
Vehicle_5;27;4
Vehicle_6;34;4
Vehicle_3;52;10
Vehicle_4;75;6
Vehicle_24;25;4
Vehicle_23;53;9
Vehicle_26;26;3
Vehicle_25;25;6
Vehicle_20;46;10
Vehicle_22;61;6
Vehicle_21;53;8
Vehicle_28;31;5
Vehicle_27;17;4
Vehicle_29;32;7
