TS;SATISFIED_DEMAND;UNSATISFIED_DEMAND
0;1;1
4;2;0
8;2;0
12;0;0
16;1;0
20;4;0
24;6;0
28;7;1
32;11;4
36;14;3
40;8;4
44;15;1
48;15;1
52;8;1
56;11;0
60;15;1
64;15;3
68;12;3
72;10;1
76;13;1
80;2;0
84;6;0
88;1;0
92;0;0
