hours;price
0;33.59
4;27.73
8;27.30
12;22.40
16;21.52
20;26.81
24;34.24
28;49.54
32;50.07
36;49.12
40;48.89
44;48.49
48;47.96
52;40.82
56;39.56
60;44.74
64;46.88
68;51.93
72;55.27
76;53.92
80;48.45
84;35.47
88;38.03
92;40.21
;
;
